,timestamp,hero,villain,market,line,line_type,price,match_id,league,hero_score,villain_score
0,2022-11-04 16:31:51.578175,Valencia,Olympiakos,SPREAD,5.5,favorite,+110,valencia-olympiakos-202211041500,euroleague,74,79
1,2022-11-04 16:31:51.578175,Olympiakos,Valencia,SPREAD,5.5,favorite,-145,valencia-olympiakos-202211041500,euroleague,79,74
2,2022-11-04 16:31:51.578175,Valencia,Olympiakos,WIN,,,+625,valencia-olympiakos-202211041500,euroleague,74,79
3,2022-11-04 16:31:51.578175,Olympiakos,Valencia,WIN,,,-1300,valencia-olympiakos-202211041500,euroleague,79,74
4,2022-11-04 16:31:51.578175,Valencia,Olympiakos,TOTAL,5.5,favorite,-115,valencia-olympiakos-202211041500,euroleague,74,79
5,2022-11-04 16:31:51.578175,Olympiakos,Valencia,TOTAL,5.5,favorite,-115,valencia-olympiakos-202211041500,euroleague,79,74
6,2022-11-04 16:31:51.695318,Fenerbahce,Barcelona,SPREAD,4.5,favorite,-105,fenerbahce-barcelona-202211041530,euroleague,36,39
7,2022-11-04 16:31:51.695318,Barcelona,Fenerbahce,SPREAD,4.5,favorite,-125,fenerbahce-barcelona-202211041530,euroleague,39,36
8,2022-11-04 16:31:51.695318,Fenerbahce,Barcelona,WIN,,,+220,fenerbahce-barcelona-202211041530,euroleague,36,39
9,2022-11-04 16:31:51.695318,Barcelona,Fenerbahce,WIN,,,-300,fenerbahce-barcelona-202211041530,euroleague,39,36
10,2022-11-04 16:31:51.695318,Fenerbahce,Barcelona,TOTAL,4.5,favorite,-115,fenerbahce-barcelona-202211041530,euroleague,36,39
11,2022-11-04 16:31:51.695318,Barcelona,Fenerbahce,TOTAL,4.5,favorite,-115,fenerbahce-barcelona-202211041530,euroleague,39,36
12,2022-11-04 16:31:51.809937,ASVEL Basket,Virtus Bologna,SPREAD,11.5,favorite,+115,asvel-basket-virtus-bologna-202211041600,euroleague,23,37
13,2022-11-04 16:31:51.809937,Virtus Bologna,ASVEL Basket,SPREAD,11.5,favorite,-150,asvel-basket-virtus-bologna-202211041600,euroleague,37,23
14,2022-11-04 16:31:51.809937,ASVEL Basket,Virtus Bologna,WIN,,,+725,asvel-basket-virtus-bologna-202211041600,euroleague,23,37
15,2022-11-04 16:31:51.809937,Virtus Bologna,ASVEL Basket,WIN,,,-1800,asvel-basket-virtus-bologna-202211041600,euroleague,37,23
16,2022-11-04 16:31:51.809937,ASVEL Basket,Virtus Bologna,TOTAL,11.5,favorite,-135,asvel-basket-virtus-bologna-202211041600,euroleague,23,37
17,2022-11-04 16:31:51.809937,Virtus Bologna,ASVEL Basket,TOTAL,11.5,favorite,+105,asvel-basket-virtus-bologna-202211041600,euroleague,37,23
18,2022-11-04 16:31:51.935524,Crvena Zvezda,AS Monaco,SPREAD,6.5,favorite,+115,crvena-zvezda-as-monaco-202211041600,euroleague,24,26
19,2022-11-04 16:31:51.935524,AS Monaco,Crvena Zvezda,SPREAD,6.5,favorite,-150,crvena-zvezda-as-monaco-202211041600,euroleague,26,24
20,2022-11-04 16:31:51.935524,Crvena Zvezda,AS Monaco,WIN,,,+320,crvena-zvezda-as-monaco-202211041600,euroleague,24,26
21,2022-11-04 16:31:51.935524,AS Monaco,Crvena Zvezda,WIN,,,-475,crvena-zvezda-as-monaco-202211041600,euroleague,26,24
22,2022-11-04 16:31:51.935524,Crvena Zvezda,AS Monaco,TOTAL,6.5,favorite,EVEN,crvena-zvezda-as-monaco-202211041600,euroleague,24,26
23,2022-11-04 16:31:51.935524,AS Monaco,Crvena Zvezda,TOTAL,6.5,favorite,-130,crvena-zvezda-as-monaco-202211041600,euroleague,26,24
24,2022-11-04 16:31:52.047041,ADA Blois,BCM Gravelines-Dunkerque,SPREAD,12.5,underdog,-135,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,97,86
25,2022-11-04 16:31:52.047041,BCM Gravelines-Dunkerque,ADA Blois,SPREAD,12.5,underdog,+105,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,86,97
26,2022-11-04 16:31:52.047041,ADA Blois,BCM Gravelines-Dunkerque,WIN,,,-10000,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,97,86
27,2022-11-04 16:31:52.047041,BCM Gravelines-Dunkerque,ADA Blois,WIN,,,+2000,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,86,97
28,2022-11-04 16:31:52.047041,ADA Blois,BCM Gravelines-Dunkerque,TOTAL,12.5,underdog,-105,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,97,86
29,2022-11-04 16:31:52.047041,BCM Gravelines-Dunkerque,ADA Blois,TOTAL,12.5,underdog,-125,ada-blois-bcm-gravelines-dunkerque-202211041500,lnb-pro-a,86,97
30,2022-11-04 16:31:52.155741,Nanterre,ESSM Le Portel,SPREAD,12.5,favorite,-155,nanterre-essm-le-portel-202211041500,lnb-pro-a,62,75
31,2022-11-04 16:31:52.155741,ESSM Le Portel,Nanterre,SPREAD,12.5,favorite,+120,nanterre-essm-le-portel-202211041500,lnb-pro-a,75,62
32,2022-11-04 16:31:52.155741,Nanterre,ESSM Le Portel,WIN,,,+2000,nanterre-essm-le-portel-202211041500,lnb-pro-a,62,75
33,2022-11-04 16:31:52.155741,ESSM Le Portel,Nanterre,WIN,,,-7500,nanterre-essm-le-portel-202211041500,lnb-pro-a,75,62
34,2022-11-04 16:31:52.155741,Nanterre,ESSM Le Portel,TOTAL,12.5,favorite,EVEN,nanterre-essm-le-portel-202211041500,lnb-pro-a,62,75
35,2022-11-04 16:31:52.155741,ESSM Le Portel,Nanterre,TOTAL,12.5,favorite,-130,nanterre-essm-le-portel-202211041500,lnb-pro-a,75,62
36,2022-11-04 16:31:52.275497,Limoges CSP,Metropolitans 92,SPREAD,17.5,favorite,-125,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,24,42
37,2022-11-04 16:31:52.275497,Metropolitans 92,Limoges CSP,SPREAD,17.5,favorite,-105,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,42,24
38,2022-11-04 16:31:52.275497,Limoges CSP,Metropolitans 92,WIN,,,+1500,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,24,42
39,2022-11-04 16:31:52.275497,Metropolitans 92,Limoges CSP,WIN,,,-6600,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,42,24
40,2022-11-04 16:31:52.275497,Limoges CSP,Metropolitans 92,TOTAL,17.5,favorite,EVEN,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,24,42
41,2022-11-04 16:31:52.275497,Metropolitans 92,Limoges CSP,TOTAL,17.5,favorite,-130,limoges-csp-metropolitans-92-202211041530,lnb-pro-a,42,24
42,2022-11-04 16:31:52.391353,ALM Évreux,Lille MBC,SPREAD,17.5,favorite,-130,alm-evreux-lille-mbc-202211041500,pro-b,71,90
43,2022-11-04 16:31:52.391353,Lille MBC,ALM Évreux,SPREAD,17.5,favorite,-110,alm-evreux-lille-mbc-202211041500,pro-b,90,71
44,2022-11-04 16:31:52.391353,ALM Évreux,Lille MBC,WIN,,,+1500,alm-evreux-lille-mbc-202211041500,pro-b,71,90
45,2022-11-04 16:31:52.391353,Lille MBC,ALM Évreux,WIN,,,-7500,alm-evreux-lille-mbc-202211041500,pro-b,90,71
46,2022-11-04 16:31:52.391353,ALM Évreux,Lille MBC,TOTAL,17.5,favorite,-120,alm-evreux-lille-mbc-202211041500,pro-b,71,90
47,2022-11-04 16:31:52.391353,Lille MBC,ALM Évreux,TOTAL,17.5,favorite,-120,alm-evreux-lille-mbc-202211041500,pro-b,90,71
48,2022-11-04 16:31:52.506761,Chalons Reims,Aix Maurienne,SPREAD,9.5,underdog,EVEN,champagne-basket-amsb-202211041500,pro-b,70,63
49,2022-11-04 16:31:52.506761,Aix Maurienne,Chalons Reims,SPREAD,9.5,underdog,-140,champagne-basket-amsb-202211041500,pro-b,63,70
50,2022-11-04 16:31:52.506761,Chalons Reims,Aix Maurienne,WIN,,,-1800,champagne-basket-amsb-202211041500,pro-b,70,63
51,2022-11-04 16:31:52.506761,Aix Maurienne,Chalons Reims,WIN,,,+700,champagne-basket-amsb-202211041500,pro-b,63,70
52,2022-11-04 16:31:52.506761,Chalons Reims,Aix Maurienne,TOTAL,9.5,underdog,-110,champagne-basket-amsb-202211041500,pro-b,70,63
53,2022-11-04 16:31:52.506761,Aix Maurienne,Chalons Reims,TOTAL,9.5,underdog,-130,champagne-basket-amsb-202211041500,pro-b,63,70
54,2022-11-04 16:31:52.625318,Etoile Angers Basket,Stade Rochelais,SPREAD,17.5,underdog,+110,etoile-angers-basket-stade-rochelais-202211041500,pro-b,71,51
55,2022-11-04 16:31:52.625318,Stade Rochelais,Etoile Angers Basket,SPREAD,17.5,underdog,-155,etoile-angers-basket-stade-rochelais-202211041500,pro-b,51,71
